,date,rf
149,2012-06-29,2.957224802543833e-05
150,2012-07-31,5.069571184789917e-05
151,2012-08-31,6.548272058906417e-05
152,2012-09-28,3.3796934686825e-05
153,2012-10-31,7.81575500276425e-05
154,2012-11-30,0.00010139412767579165
155,2012-12-31,2.112291255073917e-05
156,2013-01-31,5.0695923089909166e-05
157,2013-02-28,4.0134028564707503e-05
158,2013-03-28,3.3796953463506674e-05
159,2013-04-30,1.2673690321757501e-05
160,2013-05-31,1.26737035238375e-05
161,2013-06-28,8.449113972833334e-06
162,2013-07-31,8.449116319694167e-06
163,2013-08-30,8.449113972833334e-06
164,2013-09-30,1.6898293661565835e-05
165,2013-10-31,2.9572262401272498e-05
166,2013-11-29,2.112293455406917e-05
167,2013-12-31,1.2673690321757501e-05
168,2014-01-31,4.224636786189917e-05
169,2014-02-28,2.534758131479167e-05
170,2014-03-31,1.4785991038194998e-05
171,2014-04-30,8.449116319694167e-06
172,2014-05-30,1.9010618655295835e-05
173,2014-06-30,1.2673692962354166e-05
174,2014-07-31,4.224547305044166e-06
175,2014-08-29,4.2245470116049165e-06
176,2014-09-30,1.2673690321757501e-05
177,2014-10-31,2.1122710121504165e-06
178,2014-11-28,4.224547305044166e-06
179,2014-12-31,8.449116319694167e-06
180,2015-01-30,-1.6897988556451668e-05
181,2015-02-27,-4.224527062398917e-06
182,2015-03-31,2.9572190522339168e-05
183,2015-04-30,-4.224526769145084e-06
184,2015-05-29,2.1122710121504165e-06
185,2015-06-30,-3.802012046043917e-05
186,2015-07-31,2.534758131479167e-05
187,2015-08-31,-6.336785093000083e-06
188,2015-09-30,-2.3234634228829165e-05
189,2015-10-30,2.112293455406917e-05
190,2015-11-30,0.00010139412767579165
191,2015-12-31,5.7033121419725844e-05
192,2016-01-29,0.00019012436809643336
193,2016-02-29,0.00018589723878525
194,2016-03-31,6.33703659617325e-05
195,2016-04-29,0.000109844706345425
196,2016-05-31,0.0001901219911604417
197,2016-06-30,0.0001753359734304667
198,2016-07-29,0.0001520962618818917
199,2016-08-31,0.000198576574402325
200,2016-09-30,0.00015632152719031667
201,2016-10-31,0.00013519449879805
202,2016-11-30,0.00025351025066138334
203,2016-12-30,0.000342252960052275
204,2017-01-31,0.00039295808499155004
205,2017-02-28,0.0003574588391557667
206,2017-03-31,0.0005747216062905583
207,2017-04-28,0.0005620399405601
208,2017-05-31,0.00062546293131855
209,2017-06-30,0.0007142317955080333
210,2017-07-31,0.0008114465552501583
211,2017-08-31,0.0009256664231051666
212,2017-09-29,0.0007987940148765
213,2017-10-31,0.0008368035622846666
214,2017-11-30,0.0009192950928711667
215,2017-12-29,0.0010313813414599999
216,2018-01-31,0.00112658987768125
217,2018-02-28,0.0009928958374130835
218,2018-03-29,0.00135713551291475
219,2018-04-30,0.0013739360395475001
220,2018-05-31,0.0014650362652285833
221,2018-06-29,0.0014819269675485833
222,2018-07-31,0.0015960182626580002
223,2018-08-31,0.0016363915419505002
224,2018-09-28,0.0017379718251319168
225,2018-10-31,0.0018142728929399165
226,2018-11-30,0.0018818387179451667
227,2018-12-31,0.0018817222214288333
228,2019-01-31,0.00196227247527075
229,2019-02-28,0.00202154394609725
230,2019-03-29,0.0020172432007860832
231,2019-04-30,0.0020086434690135004
232,2019-05-31,0.0019579758793995
233,2019-06-28,0.001693434687727
234,2019-07-31,0.0018776635503075833
235,2019-08-30,0.0017378724627450835
236,2019-09-30,0.0015008579504104998
237,2019-10-31,0.0012640028773355
238,2019-11-29,0.0013591599330884166
239,2019-12-31,0.0011793314526302502
240,2020-01-31,0.00129993362933975
241,2020-02-28,0.0012047562290165
242,2020-03-31,3.37963526234375e-06
243,2020-04-30,6.125782260608333e-05
244,2020-05-29,0.00010561929377322499
245,2020-06-30,9.716900794120834e-05
246,2020-07-31,7.604470849571668e-05
247,2020-08-31,7.604461343350251e-05
248,2020-09-30,7.18200124438275e-05
249,2020-10-30,6.337016791798583e-05
250,2020-11-30,5.9145301110025e-05
